# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu May 20 14:40:07 2021
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN gaia_id:        GAIA ID
# COLUMN default_flag:   Default Parameter Set
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
#
pl_name,hostname,gaia_id,default_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim
47 UMa d,47 UMa,Gaia DR2 777254360337133312,1,14002.00000000,4018.00000000,-5095.00000000,0,11.600000,2.100000,-2.900000,0,521.22000,92.17000,-152.55000,0
51 Eri b,51 Eri,Gaia DR2 3205095125321700480,1,,,,,13.200000,0.200000,-0.200000,0,635.66000,,,0
51 Peg b,51 Peg,Gaia DR2 2835207319109249920,1,4.23078500,0.00003600,-0.00003600,0,0.052700,0.003000,-0.003000,0,150.00900,12.39500,-12.39500,0
55 Cnc b,55 Cnc,Gaia DR2 704967037090946688,1,14.65160000,0.00010000,-0.00010000,0,0.113400,0.000600,-0.000600,0,255.40000,2.90000,-2.90000,0
55 Cnc c,55 Cnc,Gaia DR2 704967037090946688,1,44.39890000,0.00420000,-0.00430000,0,0.237300,0.001300,-0.001300,0,51.20000,1.30000,-1.30000,0
55 Cnc d,55 Cnc,Gaia DR2 704967037090946688,1,5574.20000000,93.80000000,-88.60000000,0,5.957000,0.074000,-0.071000,0,991.60000,30.70000,-33.10000,0
55 Cnc e,55 Cnc,Gaia DR2 704967037090946688,1,0.73654740,0.00000130,-0.00000140,0,0.015440,0.000050,-0.000050,0,7.99000,0.32000,-0.33000,0
55 Cnc f,55 Cnc,Gaia DR2 704967037090946688,1,259.88000000,0.29000000,-0.29000000,0,0.770800,0.004300,-0.004400,0,47.80000,2.40000,-2.40000,0
6 Lyn b,6 Lyn,Gaia DR2 1004358968092652544,1,934.30000000,8.60000000,-8.60000000,0,2.110000,0.110000,-0.110000,0,638.83830,24.47291,-24.47291,0
61 Vir b,61 Vir,Gaia DR2 3507879565090229888,1,4.21500000,0.00060000,-0.00060000,0,0.050201,0.000005,-0.000005,0,5.10000,0.50000,-0.50000,0
61 Vir c,61 Vir,Gaia DR2 3507879565090229888,1,38.02100000,0.03400000,-0.03400000,0,0.217500,0.000100,-0.000100,0,18.20000,1.10000,-1.10000,0
61 Vir d,61 Vir,Gaia DR2 3507879565090229888,1,123.01000000,0.55000000,-0.55000000,0,0.476000,0.001000,-0.001000,0,22.90000,2.60000,-2.60000,0
7 CMa b,7 CMa,Gaia DR2 2939555954747554176,1,735.10000000,14.80000000,-1.00000000,0,1.758000,0.024000,-0.001000,0,587.98550,19.06980,-19.06980,0
7 CMa c,7 CMa,Gaia DR2 2939555954747554176,1,996.00000000,1.50000000,-52.40000000,0,2.153000,0.003000,-0.080000,0,276.51210,19.06980,-19.06980,0
70 Vir b,70 Vir,Gaia DR2 3740176925743650688,1,116.68800000,0.00540000,-0.00540000,0,0.481000,0.022000,-0.022000,0,2357.02728,18.11631,-18.11631,0
75 Cet b,75 Cet,Gaia DR2 2500064286492779264,1,691.90000000,3.60000000,-3.60000000,0,2.100000,,,0,953.49000,,,0
8 UMi b,8 UMi,Gaia DR2 1700658653802527104,1,93.40000000,4.50000000,-4.50000000,0,0.490000,0.020000,-0.020000,0,416.35730,50.85280,-50.85280,0
81 Cet b,81 Cet,Gaia DR2 2495420602212048640,1,952.70000000,8.80000000,-8.80000000,0,2.500000,,,0,1684.40000,,,0
91 Aqr b,91 Aqr,Gaia DR2 2630155547353593216,1,181.40000000,0.10000000,-0.10000000,0,0.700000,,,0,1017.00000,,,0
AB Pic b,AB Pic,Gaia DR2 5495052596695570816,1,,,,,260.000000,,,0,4290.50000,158.90000,-158.90000,0
AU Mic b,AU Mic,Gaia DR2 6794047652729201024,1,8.46321000,0.00004000,-0.00004000,0,0.066000,0.007000,-0.006000,0,57.20940,,,1
BD+03 2562 b,BD+03 2562,Gaia DR2 3895649725336884736,1,481.90000000,2.70000000,-2.80000000,0,1.300000,0.100000,-0.100000,0,2034.11200,413.17900,-413.17900,0
BD+14 4559 b,BD+14 4559,Gaia DR2 1759623813132980864,1,268.94000000,0.99000000,-0.99000000,0,0.780000,0.050000,-0.050000,0,330.54320,149.38010,-149.38010,0
BD+15 2375 b,BD+15 2375,Gaia DR2 3924009634910406912,1,153.22000000,0.44000000,-0.44000000,0,0.576000,0.027000,-0.027000,0,337.21763,85.81410,-85.81410,0
BD+15 2940 b,BD+15 2940,Gaia DR2 1193071962699902336,1,137.48000000,0.34000000,-0.34000000,0,0.539000,,,0,352.78000,,,0
BD+20 2457 b,BD+20 2457,Gaia DR2 625137162857354880,1,379.63000000,2.00000000,-2.00000000,0,1.050000,0.070000,-0.070000,0,17668.16970,24965.54650,-24965.54650,0
BD+20 2457 c,BD+20 2457,Gaia DR2 625137162857354880,1,621.99000000,10.20000000,-10.20000000,0,2.010000,,,0,3963.17000,,,0
BD+20 274 b,BD+20 274,Gaia DR2 96530596864007552,1,578.20000000,5.40000000,-5.40000000,0,1.300000,,,0,1334.88600,,,0
BD+20 594 b,BD+20 594,Gaia DR2 58200934326315136,1,41.68550000,0.00300000,-0.00300000,0,,,,,22.24810,9.53490,-9.53490,0
BD+48 738 b,BD+48 738,Gaia DR2 438899345022759424,1,392.60000000,5.50000000,-5.50000000,0,1.000000,,,0,289.22530,,,0
BD+48 740 b,BD+48 740,Gaia DR2 438444868763388800,1,733.00000000,5.00000000,-8.00000000,0,1.700000,0.100000,-0.100000,0,540.31100,222.48100,-222.48100,0
BD+49 828 b,BD+49 828,Gaia DR2 439327501725338752,1,2590.00000000,300.00000000,-180.00000000,0,4.200000,0.320000,-0.200000,0,508.50000,127.10000,-63.60000,0
BD-06 1339 b,BD-06 1339,Gaia DR2 3022099969137163904,1,3.87280000,0.00040000,-0.00040000,0,0.042800,0.000700,-0.000700,0,8.50000,1.30000,-1.30000,0
BD-06 1339 c,BD-06 1339,Gaia DR2 3022099969137163904,1,125.94000000,0.44000000,-0.44000000,0,0.435000,0.007000,-0.007000,0,53.00000,8.00000,-8.00000,0
BD-08 2823 b,BD-08 2823,Gaia DR2 3770419611540574080,1,5.60000000,0.02000000,-0.02000000,0,0.060000,0.000000,0.000000,0,12.71320,3.17830,-3.17830,0
BD-08 2823 c,BD-08 2823,Gaia DR2 3770419611540574080,1,237.60000000,1.50000000,-1.50000000,0,0.680000,0.020000,-0.020000,0,104.00000,10.00000,-10.00000,0
BD-10 3166 b,BD-10 3166,Gaia DR2 3758629479636689536,1,3.48777000,0.00011000,-0.00011000,0,0.040000,0.000000,0.000000,0,187.51970,22.24810,-22.24810,0
BD-11 4672 b,BD-11 4672,Gaia DR2 4154598526336121600,1,1634.00000000,13.00000000,-14.00000000,0,2.360000,0.040000,-0.040000,0,206.58950,15.89150,-19.06980,0
BD-11 4672 c,BD-11 4672,Gaia DR2 4154598526336121600,1,74.20000000,0.06000000,-0.08000000,0,0.300000,0.010000,-0.010000,0,15.37000,2.97000,-2.81000,0
BD-13 2130 b,BD-13 2130,Gaia DR2 3030262468592291072,1,714.29999000,5.30000000,-5.30000000,0,1.660000,0.120000,-0.120000,0,3108.37740,1449.30480,-1449.30480,0
BD-17 63 b,BD-17 63,Gaia DR2 2367734656180397952,1,655.60000000,0.60000000,-0.60000000,0,1.340000,0.020000,-0.020000,0,1620.90000,38.14000,-38.14000,0
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,,1,10037.50000000,2737.50000000,-2737.50000000,0,2.600000,0.300000,-0.300000,0,3337.10000,1430.20000,-1430.20000,0
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,,1,8040000.00000000,470000.00000000,-470000.00000000,0,200.000000,6.000000,-6.000000,0,2479.06157,222.47988,-254.26273,0
CHXR 73 b,CHXR 73,Gaia DR2 5201175987817179136,1,,,,,210.000000,,,0,3994.48600,2662.99100,-1664.36900,0
CI Tau b,CI Tau,Gaia DR2 145203159127518336,1,8.98910000,0.02020000,-0.02020000,0,,,,,3686.82800,921.70700,-858.14100,0
CT Cha b,CT Cha,Gaia DR2 5201360671411974912,1,,,,,440.000000,,,0,5403.00000,1907.00000,-1907.00000,0
CoRoT-1 b,CoRoT-1,Gaia DR2 3105507886130792448,1,1.50895570,0.00000640,-0.00000640,0,,,,,327.35000,38.14000,-38.14000,0
CoRoT-10 b,CoRoT-10,Gaia DR2 4263752921128319616,1,13.24060000,0.00020000,-0.00020000,0,0.105500,0.002100,-0.002100,0,874.00000,50.85000,-50.85000,0
CoRoT-11 b,CoRoT-11,Gaia DR2 4285511294172309504,1,2.99433000,0.00001100,-0.00001100,0,0.043600,0.005000,-0.005000,0,740.51000,108.06000,-108.06000,0
CoRoT-12 b,CoRoT-12,Gaia DR2 3107255598526406912,1,2.82804200,0.00001300,-0.00001300,0,0.040160,0.000930,-0.000920,0,291.43800,22.24700,-20.65800,0
CoRoT-13 b,CoRoT-13,Gaia DR2 3101974231859723776,1,4.03519000,0.00003000,-0.00003000,0,0.051000,0.003100,-0.003100,0,415.70400,20.97600,-20.97600,0
CoRoT-14 b,CoRoT-14,Gaia DR2 3101145195794755072,1,1.51214000,0.00013000,-0.00013000,0,0.027000,0.002000,-0.002000,0,2415.40000,190.70000,-190.70000,0
CoRoT-16 b,CoRoT-16,Gaia DR2 4256135160951556480,1,5.35227000,0.00020000,-0.00020000,0,0.061800,0.001500,-0.001500,0,170.03200,27.01400,-26.37900,0
CoRoT-17 b,CoRoT-17,Gaia DR2 4255957040079935488,1,3.76810000,0.00030000,-0.00030000,0,0.046100,0.000800,-0.000800,0,772.29000,95.34000,-95.34000,0
CoRoT-18 b,CoRoT-18,Gaia DR2 3120058170178779392,1,1.90006930,0.00000280,-0.00000280,0,0.029500,0.001600,-0.001600,0,1102.82000,120.77000,-120.77000,0
CoRoT-19 b,CoRoT-19,Gaia DR2 3120002649138831360,1,3.89713000,0.00002000,-0.00002000,0,0.051800,0.000800,-0.000800,0,352.78000,19.07000,-19.07000,0
CoRoT-2 b,CoRoT-2,Gaia DR2 4287820848378092672,1,1.74299350,0.00000100,-0.00000100,0,0.027980,0.000760,-0.000800,0,1102.82000,69.92000,-69.92000,0
CoRoT-20 b,CoRoT-20,Gaia DR2 3120122805143587328,1,9.24285000,0.00030000,-0.00030000,0,0.090000,0.002000,-0.002000,0,1366.66900,63.56600,-63.56600,0
CoRoT-20 c,CoRoT-20,Gaia DR2 3120122805143587328,1,1675.00000000,19.00000000,-17.00000000,0,2.900000,0.070000,-0.070000,0,5403.11000,317.83000,-317.83000,0
CoRoT-21 b,CoRoT-21,Gaia DR2 3107471240236703104,1,2.72474000,0.00014000,-0.00014000,0,0.041700,0.001100,-0.001100,0,718.29580,98.52730,-98.52730,0
CoRoT-22 b,CoRoT-22,Gaia DR2 4285572454508522496,1,9.75598000,0.00011000,-0.00011000,0,0.092000,0.001400,-0.001400,0,12.20000,14.00000,-8.80000,0
CoRoT-23 b,CoRoT-23,Gaia DR2 4283597937777249408,1,3.63130000,0.00010000,-0.00010000,0,0.048000,0.004000,-0.004000,0,889.90000,95.30000,-95.30000,0
CoRoT-24 b,CoRoT-24,Gaia DR2 3105404467618982272,1,5.11340000,0.00060000,-0.00060000,0,0.056000,0.002000,-0.002000,0,5.70000,,,1
CoRoT-24 c,CoRoT-24,Gaia DR2 3105404467618982272,1,11.75900000,0.00630000,-0.00630000,0,0.098000,0.003000,-0.003000,0,28.00000,11.00000,-11.00000,0
CoRoT-25 b,CoRoT-25,Gaia DR2 4285689616891369600,1,4.86069000,0.00006000,-0.00006000,0,0.057800,0.002000,-0.000900,0,85.81000,12.71000,-12.71000,0
CoRoT-26 b,CoRoT-26,Gaia DR2 4286437357841760000,1,4.20474000,0.00005000,-0.00005000,0,0.052600,0.001000,-0.001000,0,165.26000,15.89000,-15.89000,0
CoRoT-27 b,CoRoT-27,Gaia DR2 4284721191974346752,1,3.57532000,0.00006000,-0.00006000,0,0.047600,0.006600,-0.006600,0,3302.11000,174.80000,-174.80000,0
CoRoT-28 b,CoRoT-28,Gaia DR2 4284680029006075648,1,5.20851000,0.00038000,-0.00038000,0,0.060300,0.005000,-0.005000,0,153.82972,27.65121,-27.65121,0
CoRoT-29 b,CoRoT-29,Gaia DR2 4285073581136130560,1,2.85057000,0.00000600,-0.00000600,0,0.038600,0.005900,-0.005900,0,270.15550,63.56600,-63.56600,0
CoRoT-3 b,CoRoT-3,Gaia DR2 4263427117767106816,1,4.25680000,0.00000500,-0.00000500,0,,,,,6883.91000,317.80000,-317.80000,0
CoRoT-30 b,CoRoT-30,Gaia DR2 4477300378701511296,1,9.06005000,0.00024000,-0.00024000,0,0.084400,0.001200,-0.001200,0,921.70700,69.92260,-69.92260,0
CoRoT-31 b,CoRoT-31,Gaia DR2 3020494716521521152,1,4.62941000,0.00075000,-0.00075000,0,0.058600,0.003400,-0.003400,0,266.97720,108.06220,-108.06220,0
CoRoT-4 b,CoRoT-4,Gaia DR2 3113201890547554432,1,9.20205000,0.00037000,-0.00037000,0,0.090000,0.001000,-0.001000,0,228.83000,25.43000,-25.43000,0
CoRoT-5 b,CoRoT-5,Gaia DR2 3125611120515388800,1,4.03789620,0.00000190,-0.00000190,0,0.049470,0.000260,-0.000290,0,148.42000,14.93700,-7.62800,0
CoRoT-6 b,CoRoT-6,Gaia DR2 4285684673395749120,1,8.88659300,0.00000400,-0.00000400,0,0.085500,0.001500,-0.001500,0,940.74000,108.06000,-108.06000,0
CoRoT-7 b,CoRoT-7,Gaia DR2 3107267177757848576,1,0.85359163,0.00000001,-0.00000001,0,,,,,4.07661,1.01982,-1.01982,0
CoRoT-7 c,CoRoT-7,Gaia DR2 3107267177757848576,1,3.69800000,0.00300000,-0.00300000,0,0.046000,,,0,8.40000,0.90000,-0.90000,0
CoRoT-8 b,CoRoT-8,Gaia DR2 4287832775526476800,1,6.21229000,0.00003000,-0.00003000,0,0.063000,0.001000,-0.001000,0,69.92000,9.53000,-9.53000,0
CoRoT-9 b,CoRoT-9,Gaia DR2 4285571629874670080,1,95.27265600,0.00006800,-0.00006800,0,0.402100,0.005400,-0.005400,0,266.97720,15.89150,-15.89150,0
CoRoTID 223977153 b,CoRoTID 223977153,Gaia DR2 3326541506073371776,1,6.71837000,0.00001000,-0.00001000,0,0.071000,0.001000,-0.001000,0,47.67450,31.78300,-31.78300,0
DE CVn b,DE CVn,Gaia DR2 1550299304833675392,1,4098.10000000,131.50000000,-131.50000000,0,5.750000,2.020000,-2.020000,0,3823.27330,955.81833,-955.81833,0
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,Gaia DR2 5514929155583865216,1,246.36000000,1.38000000,-1.35000000,0,0.360000,0.010000,-0.010000,0,9057.77000,603.85000,-603.85000,0
DH Tau b,DH Tau,Gaia DR2 151374202498079872,1,,,,,330.000000,,,0,3496.00000,3178.00000,-953.00000,0
DMPP-1 b,DMPP-1,Gaia DR2 3011005587574818432,1,18.57000000,0.01000000,-0.01000000,0,0.146200,0.001200,-0.001200,0,24.27000,1.16000,-1.59000,0
DMPP-1 c,DMPP-1,Gaia DR2 3011005587574818432,1,6.58400000,0.00300000,-0.00200000,0,0.073300,0.000600,-0.000700,0,9.60000,0.53000,-1.58000,0
DMPP-1 d,DMPP-1,Gaia DR2 3011005587574818432,1,2.88200000,0.00100000,-0.00100000,0,0.042200,0.000400,-0.000300,0,3.35000,0.38000,-0.34000,0
DMPP-1 e,DMPP-1,Gaia DR2 3011005587574818432,1,5.51600000,0.00200000,-0.00400000,0,0.065100,0.000500,-0.000500,0,4.13000,0.66000,-1.14000,0
DMPP-2 b,DMPP-2,Gaia DR2 5017319806652067072,1,5.20720000,0.00020000,-0.00550000,0,0.066400,0.000500,-0.000500,0,138.89171,9.53490,-18.75197,0
DMPP-3 A b,DMPP-3 A,,1,6.67320000,0.00110000,-0.00030000,0,0.066200,0.001300,-0.001300,0,2.58000,0.35000,-0.58000,0
DP Leo b,DP Leo,Gaia DR2 3971777500966832384,1,10220.00000000,730.00000000,-730.00000000,0,8.190000,0.390000,-0.390000,0,1922.79000,149.37000,-149.37000,0
DS Tuc A b,DS Tuc A,Gaia DR2 6387058411482257536,1,8.13826800,0.00001100,-0.00001100,0,,,,,,,,
EPIC 201170410.02,EPIC 201170410,Gaia DR2 3786541956697428224,1,6.79870000,0.00010000,-0.00010000,0,0.034900,0.002700,-0.002200,0,,,,
EPIC 201238110 b,EPIC 201238110,Gaia DR2 3600975145895223040,1,28.16560000,0.00270000,-0.00280000,0,,,,,,,,
EPIC 201497682 b,EPIC 201497682,Gaia DR2 3810098271767907840,1,2.13174000,0.00022000,-0.00022000,0,,,,,,,,
EPIC 201615463 c,K2-166,Gaia DR2 3701015375282968064,1,3.80464000,0.00091000,-0.00105000,0,,,,,,,,
EPIC 201754305 d,K2-16,Gaia DR2 3897048338487064064,1,2.71578000,0.00031000,-0.00031000,0,,,,,,,,
EPIC 201757695.02,EPIC 201757695,,1,2.04780000,0.00010000,-0.00010000,0,0.029600,0.000500,-0.000500,0,,,,
EPIC 201833600 c,K2-50,Gaia DR2 3817000078053804672,1,3.96151000,0.00046000,-0.00051000,0,,,,,,,,
EPIC 201841433 b,EPIC 201841433,Gaia DR2 3909373932553827072,1,4.16980000,0.00010000,-0.00010000,0,0.035000,0.000900,-0.001000,0,,,,
EPIC 205950854 c,K2-168,Gaia DR2 6826271727199243264,1,8.05072200,0.00007500,-0.00003800,0,,,,,,,,
EPIC 206024342 b,EPIC 206024342,Gaia DR2 6839540362940861568,1,4.50756000,0.00062000,-0.00060000,0,,,,,,,,
EPIC 206032309 b,EPIC 206032309,Gaia DR2 2597400855444243840,1,2.87814000,0.00023000,-0.00026000,0,,,,,,,,
EPIC 206042996 b,EPIC 206042996,Gaia DR2 2600942622915012608,1,5.29711000,0.00074000,-0.00070000,0,,,,,,,,
EPIC 206215704 b,EPIC 206215704,Gaia DR2 2615281560211505408,1,2.25372000,0.00047000,-0.00047000,0,,,,,,,,
EPIC 206317286 b,EPIC 206317286,Gaia DR2 2621545958991110144,1,1.58252000,0.00017000,-0.00018000,0,,,,,,,,
EPIC 211822797 b,EPIC 211822797,Gaia DR2 658607950370340608,1,21.16986100,0.00172500,-0.00169500,0,0.131000,0.004000,-0.005000,0,,,,
EPIC 211945201 b,EPIC 211945201,Gaia DR2 636363799347569408,1,19.49221000,0.00066600,-0.00065300,0,0.149300,0.001500,-0.001500,0,,,,
EPIC 212297394 b,EPIC 212297394,Gaia DR2 6294955311720593024,1,2.28943000,0.00019000,-0.00019000,0,,,,,,,,
EPIC 212424622 b,EPIC 212424622,Gaia DR2 3608139421926380544,1,18.09830000,0.00600000,-0.00580000,0,,,,,,,,
EPIC 212499991 b,EPIC 212499991,Gaia DR2 3610090784483619456,1,34.88500000,0.01100000,-0.01000000,0,,,,,,,,
EPIC 212587672 b,EPIC 212587672,Gaia DR2 3616620814104819328,1,15.28410000,0.00370000,-0.00290000,0,,,,,,,,
EPIC 212737443 b,EPIC 212737443,Gaia DR2 3630680754621236096,1,13.60300000,0.00130000,-0.00130000,0,0.098000,0.004000,-0.004000,0,,,,
EPIC 212737443 c,EPIC 212737443,Gaia DR2 3630680754621236096,1,65.55000000,0.00890000,-0.00890000,0,0.280000,0.006000,-0.006000,0,,,,
EPIC 220554210 c,K2-282,Gaia DR2 2580848395082660992,1,0.70531000,0.00005000,-0.00005000,0,,,,,,,,
EPIC 220674823 b,EPIC 220674823,Gaia DR2 2582617711154563968,1,0.57133100,0.00002000,-0.00002100,0,0.013400,0.000200,-0.000200,0,,,,
EPIC 220674823 c,EPIC 220674823,Gaia DR2 2582617711154563968,1,13.33907900,0.00194000,-0.00185900,0,0.109100,0.001400,-0.001500,0,,,,
EPIC 246851721 b,EPIC 246851721,Gaia DR2 3393939026234131584,1,6.18023500,0.00001400,-0.00001400,0,0.072290,0.000740,-0.000750,0,953.49000,349.61300,-381.39600,0
EPIC 248847494 b,EPIC 248847494,Gaia DR2 3882879683758393344,1,3650.00000000,1280.00000000,-1130.00000000,0,4.500000,1.000000,-1.000000,0,4131.79000,,,1
EPIC 249893012 b,EPIC 249893012,Gaia DR2 6259263137059042048,1,3.59510000,0.00030000,-0.00030000,0,0.047000,0.005000,-0.007000,0,8.75000,1.09000,-1.08000,0
EPIC 249893012 c,EPIC 249893012,Gaia DR2 6259263137059042048,1,15.62400000,0.00100000,-0.00100000,0,0.130000,0.010000,-0.020000,0,14.67000,1.84000,-1.89000,0
EPIC 249893012 d,EPIC 249893012,Gaia DR2 6259263137059042048,1,35.74700000,0.00500000,-0.00500000,0,0.220000,0.020000,-0.040000,0,10.18000,2.46000,-2.42000,0
FU Tau b,FU Tau,Gaia DR2 149629483705467008,1,,,,,800.000000,,,0,5085.28000,,,0
G 9-40 b,G 9-40,Gaia DR2 684992690384102528,1,5.74600700,0.00000600,-0.00000600,0,0.038500,0.007800,-0.005300,0,,,,
GJ 1061 b,GJ 1061,Gaia DR2 4848140361962951552,1,3.20400000,0.00100000,-0.00100000,0,0.021000,0.001000,-0.001000,0,1.37000,0.16000,-0.15000,0
